stock_id,name,industry
1101,台泥,水泥工業
1102,亞泥,水泥工業
1216,統一,食品工業
1301,台塑,塑膠工業
1303,南亞,塑膠工業
1326,台化,塑膠工業
2002,中鋼,鋼鐵工業
2105,正新,橡膠工業
2207,和泰車,汽車工業
2303,聯電,半導體業
2308,台達電,電子零組件業
2317,鴻海,其他電子業
2330,台積電,半導體業
2356,英業達,電腦及週邊設備業
2357,華碩,電腦及週邊設備業
2376,技嘉,電腦及週邊設備業
2379,瑞昱,半導體業
2382,廣達,電腦及週邊設備業
2412,中華電,通信網路業
2454,聯發科,半導體業
2474,可成,其他電子業
2603,長榮,航運業
2609,陽明,航運業
2610,華航,航運業
2615,萬海,航運業
2618,長榮航,航運業
2823,中壽,
2880,華南金,金融保險
2881,富邦金,金融保險
2882,國泰金,金融保險
2883,開發金,金融保險
2884,玉山金,金融保險
2885,元大金,金融保險
2886,兆豐金,金融保險
2887,台新金,金融保險
2890,永豐金,金融保險
2891,中信金,金融保險
2892,第一金,金融保險
2912,統一超,貿易百貨
3008,大立光,光電業
3034,聯詠,半導體業
3037,欣興,電子零組件業
3045,台灣大,通信網路業
3231,緯創,電腦及週邊設備業
3711,日月光投控,半導體業
4904,遠傳,通信網路業
5871,中租-KY,其他
5880,合庫金,金融保險
6505,台塑化,油電燃氣
6669,緯穎,電腦及週邊設備業
